Company name;Org. no;Closure year;Currency;Num. of employees, stock company (pcs);EBITDA (k);Working capital (k);Distributable earnings (k);Turnover change (%);Changes in staff (%);Return on equity (%);Return on total assets (%);Liability interest (%);Risk buffer total assets (k);Return on Captial Employed (RoCE) (%)
VPK Packaging AB;5560335423;201912;SEK;236;20 800;7 338;91 073;5,8;-4,07;-2,4;-0,4;1,3;-1,7;-0,82
TRACKMAN A/S;27352677;201912;DKK;100;212 167;213 852;566 151;28,42;0;84,64;60,76;0,47;0;90,56
KASSEJA Holding AB;5591277479;201912;SEK;124;26 183;-23 810;134 822;0;0;12,5;5,2;0,6;4,6;7,26
Grafiska Vägen Livs Aktiebolag;5562694595;201912;SEK;101;39 446;58 991;60 398;0,39;-1,94;52,9;32,6;0;32,6;60,15
Karlstad Pulp Technology Group AB;5565565842;201903;SEK;114;44 701;68 764;29 401;-2,15;5,56;26,8;22,4;15,1;7,3;34,25
Car-O-Liner Group AB;5566957675;201912;SEK;197;78 455;184 998;206 599;-8,57;-6,19;36,8;25,5;0,1;25,4;35,81
Haribo Lakrids A/S;37657654;201912;DKK;100;87 128;99 646;81 367;6,46;0;39,56;20,84;0,46;0;39,91
Aktiebolaget Varberg Bil-Depot;5560654864;201912;SEK;124;13 817;77 777;68 733;-13,22;20,39;13,4;6,2;0,3;6;12,08
OKNYGAARD A/S;35394818;201912;DKK;200;12 069;26 932;64 723;8,08;0;10;5,59;1,69;0;19,41
THERMO-TRANSIT DANMARK A/S;73628911;201912;DKK;100;13 557;-93 029;71 572;19,49;0;9,75;3,51;1,01;0;3,3
Uddevalla Energi Aktiebolag;5560366170;201912;SEK;156;166 518;71 929;345 834;0,67;2,63;17,4;5;1,2;3,7;11
Frigg Management Aktiebolag;5560736554;201912;SEK;122;38 054;231 118;266 576;0,04;-6,87;10,2;5,6;1,5;4,2;6,82
TRIOPLAST NYBORG A/S;16165476;201912;DKK;100;55 503;19 534;113 624;-3,02;0;36,32;17,14;1,31;0;40,89
Swisslog Technology Center Sweden AB;5565996807;201912;SEK;204;22 658;20 528;-5 280;-1,88;16,57;10,6;3,2;0,2;3;16,33
Göinge Bil Aktiebolag;5562689181;201912;SEK;117;29 002;40 301;166 069;-3,6;-10;10,6;6,8;2;4,9;11,12
KONE AKSJESELSKAP;918201548;201912;NOK;294;34 634;17 754;47 132;13,88;1,03;62,28;7,94;11,43;7,91;69,46
Sulzer Pumps Sweden AB;5565267910;201912;SEK;171;35 769;80 455;122 758;-8,15;0,59;20,8;10,3;0,3;9,9;23
MalmbergGruppen Aktiebolag;5561016089;201912;SEK;180;39 657;151 765;193 785;1,75;15,38;13,1;6,3;0,3;5,9;10,83
NORDISK FILM DISTRIBUTION A/S;13513074;201912;DKK;100;74 576;70 166;112 835;-12,03;0;83,83;21,61;3,9;0;108,82
BOURBON OFFSHORE NORWAY AS;979751621;201912;NOK;107;489 303;-875 799;-142 348;-7,09;328;-44,33;16,16;10,52;-7,36;61,84
Filippa K Aktiebolag;5564698586;201912;SEK;133;28 129;137 521;209 557;-2,57;3,1;7,1;4,3;0,1;4,2;7,66
Burlin Motor AB;5565265385;201912;SEK;110;22 398;28 206;29 870;2,32;-4,35;55,7;19;0,4;18,6;69,06
DOMSTEIN SJØMAT AS;997420470;201912;NOK;109;14 084;22 741;10 894;13,82;0;14,01;6,34;16,88;2,84;11,9
Elfa Sweden Aktiebolag;5560522558;201903;SEK;143;-4 005;223 155;252 474;7,59;-4,03;3,4;2,7;1,2;1,6;-8,01
AASTED ApS;10422345;201912;DKK;200;51 382;55 593;120 990;-6,69;0;42,82;19,17;1,92;0;58,59
WELCON A/S;31491401;202005;DKK;200;5 131;78 548;77 340;-5,02;0;3,61;2,24;2,55;0;3,22
SILJAN TIMBER AB;5560341025;201912;SEK;106;9 437;-12 750;73 783;3,37;7,07;-8,8;-0,6;2,4;-3;-2,24
MOELVEN MODUS AS;951269778;201912;NOK;314;29 618;124 813;50 030;16,48;0;21,3;12,35;51,15;12,29;24,14
BjörnKraft Aktiebolag;5565035507;201912;SEK;277;59 422;222 111;429 990;-12,73;-2,46;6,1;5,1;0,3;4,8;6,18
El-Giganten Logistik Aktiebolag;5564792603;201904;SEK;493;103 854;-170 377;32 155;-2,82;-5,56;27;7,7;0,9;6,8;64,69
ByggTema i Örebro Aktiebolag;5565688560;201912;SEK;100;14 327;73 050;38 869;7,06;21,95;21;7,5;0;7,5;35,68
Familjen A invest AB;5568650120;201906;SEK;136;22 818;153 406;181 957;-36,61;11,48;-2,2;0,6;2,1;-1,6;0,99
Convini Intressenter AB;5590705694;201912;SEK;259;39 351;7 703;-712;18,45;-3,72;-1,7;0,3;1,3;-0,9;0,62
HaSö Butiks AB;5566706130;202001;SEK;118;45 424;113 496;228 541;4,29;2,61;15,5;10,3;1,6;8,6;11,55
Hjertmans Sweden AB;5567912810;201912;SEK;203;56 237;103 157;55 884;94,56;86,24;41,1;18,2;2;16,3;28,97
Sycava AB;5566158191;201912;SEK;121;39 691;85 804;292 922;3,09;4,31;13,8;10,1;1,1;9;12,14
Z-Lyften Produktion AB;5566328984;201812;SEK;224;11 932;47 221;35 829;14,23;18,52;9,4;3,6;0,5;3;10,97
NYX Interactive Aktiebolag;5565392882;201812;SEK;117;-72 171;-88 556;-74 474;38,67;5,41;105;-24,4;0;-24,5;104,77
ZENITEL NORWAY AS;863503922;201912;EUR;297;6 509;25 456;6 044;23,33;3,85;10,78;7,12;55,11;5,47;12,09
Axiell Group AB;5563492189;201912;SEK;322;73 652;-112 043;165 161;21,64;17,52;22,2;7,9;1,1;6,8;13,08
AUTOHUSET VESTERGAARD A/S;70539128;201912;DKK;100;38 972;40 356;25 755;-11,93;0;24,07;9,61;2,92;0;49,6
Östenssons Livs Aktiebolag;5560901968;201908;SEK;191;14 312;-9 134;31 723;-2,7;1,06;24,4;10,6;0,4;10,2;34,54
HCL TECHNOLOGIES DENMARK ApS;33041454;202003;DKK;100;32 593;84 190;106 448;-3,09;0;30,46;11,41;1,87;0;27,44
Siemens Industry Software AB;5563914018;201909;SEK;118;20 127;77 857;79 416;13,9;3,51;23,3;9,9;0,5;9,4;24,04
Börjessons Lastbilar Aktiebolag;5563841120;201912;SEK;106;15 638;40 753;40 243;11,07;8,16;33,8;12,6;0,9;11,7;41,96
GISLAVED GUMMI Aktiebolag;5561122382;201912;SEK;167;112 819;78 399;43 180;-1,38;5,03;109,4;32,7;0,1;32,7;193,99
Doggy AB;5560555129;201912;SEK;156;49 818;-35 925;39 124;16,38;11,43;37,7;7,4;1,5;5,9;15,65
JAKON A/S;83955716;201906;DKK;200;0;79 831;89 260;-21,01;0;14,25;0,52;1,58;0;-
Aktiebolaget Axel Granlund;5564096013;201912;SEK;175;65 880;-103 513;2 103 943;9,55;16,67;8,4;4,8;1,9;2,9;2,4
GRUNDFOS DK A/S;19342735;201912;DKK;100;29 094;65 394;22 352;-4,19;0;42,56;13,65;2,53;0;50,65
Nowaste Logistics AB;5565764338;201912;SEK;371;41 797;-32 453;-2 729;15,18;4,8;1 402,3;27,6;0,9;26,7;1 449,83
Conaxess Trade Denmark A/S;16015512;201912;DKK;100;3 903;51 392;34 824;-7,68;0;5,07;2,21;2,11;0;1,35
Sallén Elektriska Aktiebolag;5560712167;202004;SEK;297;23 235;67 196;57 923;-12,39;-11,61;34,6;14,4;0,5;13,9;39,04
GKN WHEELS NAGBØL A/S;19879712;201912;DKK;200;45 976;113 787;139 884;-1,54;0;32,73;18,61;0,77;0;26,18
Företagsutveckling i Solna AB;5565284790;201912;SEK;143;22 649;210 153;250 280;-1,51;2,88;5;3,4;1,4;2;2,83
Söndrum Stormarknad AB;5566706114;202001;SEK;118;38 584;18 349;28 302;4,35;2,61;88,2;20,3;0;20,3;116,26
Alingsås Stormarknad AB;5569188559;201912;SEK;131;39 264;20 571;19 990;3,53;1,55;88,1;29,3;0;29,3;84,56
Hako Ground & Garden Aktiebolag;5561802231;201912;SEK;141;36 517;210 330;164 258;10,04;4,44;7,2;3,8;0,6;3,3;5,24
ORSKOV YARD A/S;26694027;201909;DKK;200;29 355;-67 334;30 510;3,05;0;52,53;24,02;1,9;0;78,39
AIR ALSIE A/S;12655983;201904;DKK;100;14 524;64 727;39 377;23,36;0;18,87;9,95;1,89;0;26,56
Kraftringen Service AB;5565116398;201912;SEK;161;23 868;19 537;19 761;10,02;-3,01;79,1;9,6;1,5;8,1;91,61
Presto Brandsäkerhet AB;5561120584;201912;SEK;392;-23 905;81 832;81 506;35,86;36,59;-43,4;-10,4;2,4;-12,9;-19,78
Nyhléns & Hugosons Chark AB;5565318374;201912;SEK;152;33 556;-14 480;34 031;5,51;-4,4;28,3;7,9;1;6,9;13,05
Varuhuset Flygfyren Aktiebolag;5565342523;201912;SEK;119;31 203;34 049;27 894;3,25;1,71;56,8;25,1;0,1;25,1;72,94
STILL Sverige AB;5560068388;201912;SEK;111;12 931;31 256;35 332;34,1;6,73;27,7;6,6;0,8;5,9;30,41
Sandåsa Timber Aktiebolag;5561893800;201912;SEK;129;63 778;184 461;295 934;1,65;2,38;10,7;7,7;0,8;7;10,23
NELLEMANN A/S;18036800;201912;DKK;100;-4 293;2 092;-8 519;-7,62;0;-96,31;-8,33;9,26;0;-86,58
Midroc Metalock AB;5564712734;201912;SEK;408;62 824;212 160;213 481;0;0;9,9;7,9;7,4;0,5;11,78
Aktiebolaget Nya Grand Hotel;5560285941;201912;SEK;355;47 762;24 312;30 270;8,09;1,43;13,3;5,1;1,3;3,9;25,33
BRYN BYGGKLIMA AS;984005288;201912;NOK;200;34 851;91 149;35 624;9,61;0;18,33;11,41;58,19;11,17;19,61
V. GULDMANN A/S;27706746;201909;DKK;100;64 838;106 700;223 404;17,88;0;34,54;19,38;1,02;0;25,5
Mondi Örebro AB;5560393828;201912;SEK;107;29 991;44 282;27 426;1,95;-1,83;30,2;11,1;0,8;10,3;41,85
Sibbhultsverken AB;5566939863;201912;SEK;148;33 749;-19 630;15 996;-3,92;-10,3;24,4;8,1;0,8;7,3;19,72
Spaljisten Aktiebolag;5561907709;201912;SEK;121;41 218;103 454;129 644;5,44;5,22;68,3;47,9;1;46,9;17,17
PLUS PACK A/S;37754013;201912;DKK;100;25 070;29 617;88 954;-3,87;0;13,25;8,47;1,3;0;15,11
Svensk Husproduktion AB;5568762636;201904;SEK;108;44 634;32 310;26 627;12,15;3,85;59;20,9;0,3;20,6;35,73
SYSAV Industri AB;5564748803;201912;SEK;115;180 716;110 492;233 278;5,07;0;55,2;39,6;0,5;39,1;69,39
Aktiebolaget Beslag & Metall;5563323764;201912;SEK;211;35 898;147 554;199 913;-12,87;-2,76;4,9;3,7;0,6;3,1;6,19
Byggnadsfirman Otto Magnusson Entreprenad AB;5560656117;201912;SEK;127;20 092;30 146;19 707;12,41;1,6;58,7;12,5;0;12,5;78,69
Nextjet Sverige AB;5567369201;201612;SEK;241;4 957;-111 277;-129 766;0;0;31,6;0;2,8;-2,8;-22,48
Dormy Invest AB;5566489893;201912;SEK;152;60 835;130 216;177 037;7,99;-5;49,4;29,3;2,3;27,1;26,29
BALL GROUP DENMARK ApS;14017577;201912;DKK;200;36 457;4 186;54 424;24,06;0;56,24;16,4;3,46;0;53,3
Loipart AB;5566516406;201912;SEK;209;28 090;131 774;158 364;7,52;3,47;14,4;7,6;0,4;7,2;13,39
Hero Gaming Group AB;5569294282;201912;SEK;135;10 180;4 496;-37 422;19,44;31,07;-5,5;1,8;7,4;-5,6;4,06
Carl Björkman AB;5560957507;201912;SEK;110;15 192;26 865;37 883;2,19;-12;7,7;4,7;3,8;0,9;5,75
Transportaktiebolaget i Jönköping;5567673305;201912;SEK;125;35 378;12 563;40 730;-5,47;0,81;19,6;6,1;0,7;5,5;10,82
Polarica AB;5561672535;202004;SEK;164;71 884;190 401;110 259;2,46;-0,61;-44,1;16,2;49,2;-33;21,48
Saferoad Sverige AB;5560308073;201912;SEK;309;-14 581;25 175;49 388;-6,71;-0,64;-77;-9,3;4,6;-14;-37,89
TEKNOS A/S;85551612;201912;DKK;100;59 150;126 498;124 970;-3,67;0;16,12;12,92;0,3;0;18,5
Borga Gruppen Aktiebolag;5563065969;201912;SEK;342;44 339;76 571;71 345;7,71;13,62;30;8,9;0,8;8,1;15,32
Borga Holding AB;5565317657;201912;SEK;343;43 877;75 923;68 723;7,71;13,58;30,1;8,4;2,3;6,1;14,32
Verisure Innovation AB;5567235329;201912;SEK;288;-14 742;-10 317;20 474;11,13;13,83;-106,7;-22;0;-22;-76,56
The Swatch Group (Nordic) AB;5560509944;201912;SEK;104;53 667;166 800;176 356;51,28;-0,95;28,4;20,8;2,3;18,5;29,41
ITERA ASA;980250547;201912;NOK;498;92 015;-18 549;83 218;5,46;0;64,54;24,35;19,22;21,71;126,65
Rototilt Group AB;5565030755;201912;SEK;191;34 058;129 504;153 757;10,07;11,7;13;7,6;1,2;6,5;10,16
Peab Support AB;5560611500;201912;SEK;252;92 921;-142 046;620;3,3;4,13;70,1;22;0,3;21,7;71,71
MNEMONIC AS;982089549;201912;NOK;203;49 436;36 364;20 426;5,38;12,15;17,63;8,58;26,57;7,62;17,54
NORDIC LAST OG BUSS AS;979463332;201912;NOK;182;36 959;18 407;40 734;-1,9;0;43,12;15,19;24,89;13,19;26,92
Nagel Liller A/S;38338862;201912;DKK;200;-8 594;-62 474;-68 209;6,02;0;17,5;-6,8;-2,87;0;13,71
Giesecke+Devrient Mobile Security Sweden AB;5561795161;201912;SEK;125;116 877;143 611;183 432;-10,41;-2,34;54,3;44,2;0,1;44;54,31
Bygget Förvaltning AB;5569173536;201912;SEK;162;124 991;134 051;278 593;-4,93;8;32,1;19,4;0,9;18,5;24,52
PEAB ASFALT NORGE AS;994628577;201912;NOK;100;17 844;32 589;2 382;13,34;0;0,72;1,55;77,19;-2,55;1,93
Atteviks Lastvagnar Aktiebolag;5560577545;201912;SEK;143;31 780;121 890;102 533;-3,77;1,42;25,2;15,7;1,2;14,5;26,88
Roschier Advokatbyrå AB;5566865670;202005;SEK;220;398 455;136 954;147 688;-7,04;0,46;128,4;63,7;4,2;59,5;132,93
NORISOL A/S;80149212;201912;DKK;200;26 803;25 309;5 303;-13,21;0;27,12;10,62;2,5;0;38,6
Turebergs Transport Aktiebolag;5590202890;201912;SEK;120;11 513;12 016;16 363;4,41;-3,23;42,5;8,3;0,4;7,9;39,7
Trensums Food AB;5561443788;201904;SEK;148;23 512;62 070;41 980;34,83;22,31;32,2;8,8;0,3;8,4;19,14
Cycleurope Sverige AB;5560365636;201912;SEK;100;37 051;68 159;2 106;-8,04;1,01;75,1;10,5;1,7;8,8;31,59
Tranter International AB;5565591764;201912;SEK;136;33 396;127 662;134 809;14,38;16,24;18,8;9,6;0,5;9,1;20,38
TL Bygg Aktiebolag;5562254440;201912;SEK;128;5 188;77 489;75 651;-6,98;13,27;5;1,7;0;1,7;5,02
Jeudan Projekt & Service A/S;20866381;201912;DKK;200;16 438;172 019;190 746;-6,38;0;9,11;4,44;1,28;0;8,5
Green Landscaping AB;5567734800;201912;SEK;354;-4 964;27 380;56 860;-11,59;5,36;-29;-9,4;0,1;-9,5;-27,74
Nordic Railway Construction Underhåll AB;5568574205;201912;SEK;200;8 287;-5 262;19 390;9,31;-6,1;-4,2;-0,1;0,7;-0,8;-0,53
Scienta Scientific Aktiebolag;5562568575;201912;SEK;169;37 482;72 798;-64 623;18,47;-12,89;36,5;9,1;2,3;6,8;24,11
Scienta Scientific Holding AB;5568020688;201912;SEK;169;37 350;72 879;-17 896;18,47;-12,89;67,6;9,1;2,3;6,8;31,94
Blomsterboda Nord AB;5565411088;201906;SEK;182;9 757;-11 121;15 219;105,9;87,63;20,4;6,3;1,8;4,5;42,96
Kynningsrud Prefab AB;5562645241;201912;SEK;245;33 298;24 003;12 741;-9,3;3,38;29,1;7,4;0,8;6,6;36,18
XLENT Aktiebolag;5564044120;201912;SEK;413;115 988;66 811;56 773;7,66;25,53;181,5;48,7;0,3;48,4;151,69
Semler Agro A/S;10089751;201912;DKK;200;-12 216;-17 639;-18 318;-16,34;0;-197,51;-5;57,92;0;-299,97
Asplunds Bygg i Mellansverige AB;5565364477;201912;SEK;103;17 903;48 487;47 230;14,33;-0,96;38,1;11,7;0;11,6;38,21
BRUGSFORENINGEN FOR ALS OG SUNDEVED;20031611;201912;DKK;200;10 702;-20 395;115 245;0,69;0;0,86;-0,05;0,54;0;-0,22
Dormy Golf & Fashion Aktiebolag;5564867637;201912;SEK;141;54 731;91 961;41 742;6,68;-7,24;86,9;24,9;0,1;24,8;110
Bodens Kommunföretag Aktiebolag;5563300333;201912;SEK;108;158 062;14 094;429 910;0,48;12,5;9,5;2;0,4;1,5;2,45
CONSOLVO AS;944024875;201912;NOK;106;32 716;5 857;42 378;32,28;0;42,78;16,61;31,26;14,89;49,92
Sallén Förvaltning AB;5566722145;202004;SEK;297;24 382;59 591;22 537;-16,41;-11,61;103,6;15,4;0,9;14,5;107,59
SONDEX A/S;10035643;201912;DKK;100;219;-14 128;58 414;-6,88;0;-0,87;0,73;4,05;0;0,31
Attacus Invest AB;5563483683;201912;SEK;313;8 672;1 399;91 357;2,92;5,39;4,7;1,8;0,4;1,4;1,71
NGS Group Aktiebolag;5565351128;201912;SEK;269;23 589;-2 086;142 216;-12,24;-23,58;7,9;5,8;1,5;4,3;8,56
Getinge Sverige Aktiebolag;5565099511;201912;SEK;149;25 074;56 920;40 290;40;24,17;46,7;9;0,4;8,6;48,4
Gothenburg Ro/Ro Terminal AB;5567856314;201812;SEK;285;37 038;22 146;72 348;14,39;18,26;19,9;7,1;0,2;6,8;25,26
Johnny Svensson Entreprenad Aktiebolag;5563740009;201912;SEK;116;38 478;58 302;95 457;17,91;1,75;24,1;11,2;0,6;10,7;18,78
POWEL AS;976574958;201912;NOK;393;86 483;-40 128;60 350;-6,46;-5,3;16,1;9,45;35,98;7,45;18,01
DSV SOLUTIONS A/S;26366321;201912;DKK;200;29 191;21 135;-2 096;7,09;0;30,35;10,04;3,6;0;48,32
ELINDCO A/S;86243911;202004;DKK;100;29 298;64 122;55 861;-10,29;0;30,48;14,75;1,36;0;37,04
Hörberg Petersson Tronic AB;5561997916;201912;SEK;237;30 598;71 108;76 452;9,58;3,95;39;17,1;0,5;16,6;39,68
NETNORDIC NORWAY AS;993062561;201912;NOK;185;36 129;43 500;59 020;150,54;125,61;40,11;11,84;16,96;9,24;67,5
JOHS OLSEN AS;980321800;201912;NOK;116;20 578;82 194;26 934;5,73;0,87;18,76;11,3;29,99;10,09;37,67
SCT TRANSPORT A/S;27045081;201909;DKK;200;48 454;29 701;133 265;11,9;0;9,71;4,38;0,94;0;11,95
Etteplan Sweden AB;5565260592;201912;SEK;489;28 023;58 491;45 218;4,29;2,73;32,3;13,8;0,6;13,2;48,77
HESSELBERG TRUCK AS;983448348;201912;NOK;105;39 628;34 463;68 318;21,9;0;65,31;16,26;23,09;15,19;32,01
ORIFARM GENERICS A/S;25674030;201912;DKK;100;142 639;110 577;225 005;8,04;0;84,22;41,41;1,18;0;73
Newsec Property Asset Management Sweden AB;5563480283;201912;SEK;384;22 914;-7 532;889;5,58;5,49;163,2;6,8;0,1;6,7;239,98
Oriflame Cosmetics AB;5560263070;201912;SEK;303;11 804;1 462;18 212;-7,43;-1,94;69,2;11,2;0,3;10,9;70,65
KINNARPS AS;983060072;201908;NOK;140;25 059;137 169;39 462;2,12;-3,45;17,97;11,36;62,38;10,96;18,21
Northern Offshore Group AB;5567479802;201906;SEK;233;26 690;118 762;134 336;19,52;14,22;11,4;3,8;1,3;2,5;5,63
FORMUESFORVALTNING AKTIV FORVALTNING AS;953880873;201912;NOK;158;85 501;160 597;134 337;-1,6;0;32,43;22,8;61,39;22,21;37,14
Kronhallen Holding Aktiebolag;5567826259;201912;SEK;102;39 259;33 438;215 168;3,91;-5,56;11,3;9;2,2;6,8;10,84
BHS Logistics A/S;35255516;201912;DKK;200;30 238;23 540;50 246;2,53;0;18,53;9,14;1,37;0;22,04
Optimera Detaljhandel AB;5565505681;202001;SEK;101;32 582;29 835;17 276;2,22;1;57,7;22,9;0,6;22,3;63,38
Multibygg Sydost AB;5566894217;201904;SEK;111;38 686;-3 050;59 427;23,22;11;52;16,1;0,4;15,7;30,95
ApQ El AB;5565400602;201912;SEK;296;17 759;35 526;30 293;-12,9;-2,63;33,1;8,8;0,7;8,1;22,73
LOMAX A/S;14749292;201912;DKK;100;38 817;3 287;64 460;3,8;0;37,61;14,61;1,74;0;42,26
Ad Sverige Aktiebolag;5562035096;201912;SEK;168;5 808;154 531;109 028;7,79;16,67;6;2,5;0,4;2,1;4,33
Jackon Aktiebolag;5563835742;201912;SEK;137;16 763;82 175;100 122;-5,87;-0,72;5,8;5,1;3,5;1,5;9,88
Spicer Nordiska Kardan Aktiebolag;5560253782;201912;SEK;161;-2 080;13 587;43 351;-1,64;2,55;-14,3;-4,5;0,1;-4,7;-8,43
Succéfilm AB;5561229211;201912;SEK;291;88 469;-617;129 141;-3,06;1,75;36;10;1,2;8,8;17,19
Atkins Sverige AB;5566116751;201912;SEK;409;20 301;47 918;22 653;70,6;73,31;42,7;8;0,8;7,2;63,55
Bucher Municipal A/S;20010088;201912;DKK;200;23 188;87 071;34 049;9,72;0;6,77;4,55;2,4;0;19,65
Broviken Gruppen I AB;5591529135;201912;SEK;388;35 304;141 071;-10 186;0;0;-2,3;-0,5;0,9;-1,5;-0,29
Selbergs Entreprenad i Umeå AB;5569437626;201912;SEK;160;1 675;3 605;20 108;6,35;-6,43;-5,3;-0,6;0;-0,6;-5,18
HNT Schakt & Transport AB;5563513414;201912;SEK;134;49 757;25 278;56 269;19,1;3,88;25,9;9;0,8;8,2;16,72
Llentab Group AB;5563025484;201912;SEK;169;5 520;63 748;176 753;-6,97;-27,16;3,5;2,5;0,1;2,5;-2,02
Lidfastighet AB;5564227584;201912;SEK;107;17 718;118 257;205 646;-7,19;-2,73;8,4;5,3;0,9;4,4;6,74
STARKA Betongelement AB;5566486238;201912;SEK;233;30 238;-15 617;10 629;7,3;1,3;30,4;4,1;0,6;3,4;25,27
Specialkarosser Aktiebolag;5564928777;201912;SEK;159;26 578;178 761;153 450;20,23;-0,63;15;10,3;0,1;10,2;17,72
DOT A/S;26704863;201912;DKK;200;81 605;19 354;178 095;-2,68;0;18,15;13,86;0,53;0;20,15
Avega Group AB;5566011887;201912;SEK;139;9 683;-20 594;57 625;-1,67;-10,32;55,8;14,9;0,1;14,8;16,22
Consafe Logistics Group AB;5566495908;201912;SEK;348;98 796;53 736;55 076;4,89;6,75;148,7;45,5;1,3;44,2;151,58
Aktiebolaget Ludvig Svensson;5569337503;201912;SEK;215;57 259;207 563;345 064;-11,22;1,9;13,8;11,9;0;11,9;13,78
Telavox AB;5566007786;201912;SEK;241;61 968;77 792;168 678;17,24;2,55;73,6;28,1;1,3;26,8;47,99
VOLVO ENTREPRENØRMASKINER A/S;20001488;201912;DKK;100;106 992;56 808;36 554;-0,71;0;4,33;3,44;1,5;0;20,07
BABYSAM A/S;31370450;201909;DKK;200;3 436;71 049;90 576;6,93;0;-4,33;-2,65;0,71;0;-4,58
Francks Kylindustri Group Holding AB;5591744759;201912;SEK;213;43 889;16 683;3 265;0;0;7,7;4,3;2,8;1,5;6,54
Steelwrist AB;5566170048;201912;SEK;140;7 755;9 252;-8 987;26,44;22,81;-57,8;-2;3,2;-5,2;-16,72
CJ Automotive AB;5562099316;201912;SEK;268;-11 131;-16 711;10 609;9,9;11,2;-159,9;-12;1,3;-13,3;-30,35
BESAB AB;5562291582;201912;SEK;139;36 140;73 264;49 261;4,65;3,73;69,2;26,5;1,3;25,1;44,75
Öst Media AB;5566633045;201912;SEK;202;-44 403;15 260;26 375;-5,46;-8,18;-147,6;-32,6;0;-32,6;-192,6
Extendo AB;5566326285;201912;SEK;231;47 314;89 841;128 270;13,56;1,76;22,2;11,6;3,7;7,9;16,82
Nordomatic Aktiebolag;5563622074;201912;SEK;250;29 426;1 102;39 640;38,65;29,53;29,6;10,5;1,2;9,3;49,96
CARIGOSA AS;880388312;201912;NOK;151;39 394;58 138;52 721;5,71;1,34;29,54;15,42;28,74;14,28;30,25
Trimble AB;5565509782;201912;SEK;273;38 248;33 847;81 559;-29,62;8,76;27;14,9;3;11,8;34,37
DANEPORK A/S;13222495;201909;DKK;100;44 025;19 452;163 045;13,89;0;13,35;9,03;1,29;0;14,55
Aktiebolaget Byggbeslag;5563023315;201912;SEK;221;16 181;-18 100;38 010;-3,19;3,27;10,5;3,6;1,6;2;15,75
Aritco Lift AB;5563166114;201912;SEK;112;36 414;37 744;37 965;14,39;4,67;24,9;10,2;0;10,2;36,88
Faiveley Transport Nordic AB;5560589664;201912;SEK;162;105 148;202 016;188 956;3,79;2,53;44,5;30,8;13,2;17,6;55,88
Stoby Måleri AB;5561289744;201912;SEK;408;19 993;43 483;25 407;1,09;-1,69;37,6;12,4;0,3;12,1;68,77
A/S BOLIGBETON;31345928;201912;DKK;200;90 191;-77 985;242 861;24,79;0;29,96;16,15;1,01;0;25,2
Alfdex AB;5566477278;201912;SEK;117;64 372;125 746;77 488;4,82;1,74;45,6;22,9;0,3;22,6;62,03
Greif Sweden Aktiebolag;5560151317;201910;SEK;113;31 703;60 751;43 944;1,15;-2,59;15,2;8,5;0,2;8,2;32,56
EXPEDIT A/S;37752517;201912;DKK;200;-1 282;29 145;91 525;-4,99;0;-1,61;-0,22;1,06;0;-1,18
Peab Asfalt A/S;18298503;201912;DKK;200;0;1 579;-13 812;-19,63;0;-20,44;0,14;1,36;0;-
Sharp Business Systems Sverige AB;5564770237;201903;SEK;199;10 250;42 716;47 596;-19,18;4,19;16,2;4,1;0,2;4;16,64
Älmby Entreprenad Aktiebolag;5561465336;201912;SEK;101;35 221;24 570;39 245;39,06;21,69;31,7;12,7;0,5;12,2;32,24
AXEL KAUFMANN ApS;19098192;201909;DKK;200;18 354;117 031;149 909;0;0;4,09;3,72;0,57;0;5,9
Nacka Stadshus Aktiebolag;5560324930;201912;SEK;147;127 485;-516 482;206 791;9,72;10,53;35,1;4,3;0,6;3,7;14,06
Smolandia AB;5567409106;201912;SEK;354;56 589;-95 139;18 476;-39,25;-11,94;-11,3;-0,5;1,3;-1,8;-0,67
Lyreco Sverige AB;5563036341;201912;SEK;152;-20 884;68 460;10 836;-1,17;-6,17;-140,8;-11,6;2,1;-13,7;-148,9
BENT PEDERSEN A/S;15214678;201912;DKK;100;9 836;34 649;36 107;19,26;0;19,89;6,49;2,83;0;16,5
Plockmatic International Aktiebolag;5561693465;201912;SEK;318;38 932;51 186;47 544;18,38;0,32;20,6;5,9;1,1;4,7;12,64
BENT BRANDT A/S;37238910;201909;DKK;100;43 249;118 791;178 622;-4,46;0;20,88;18,26;0,33;0;22,97
Besab Holding AB;5568982341;201912;SEK;152;42 434;58 503;51 807;4,37;4,11;53,9;17;1,1;15,9;29,22
Optik Smart Eyes AB;5567028492;201906;SEK;282;68 651;17 853;-1 940;5,32;-1,05;160,1;58,1;0;58,1;169,3
SØBSTAD AS;921231849;201912;NOK;177;35 666;47 610;24 086;4,06;0;14,17;6,77;21,32;5,53;17,97
Sectra Imaging IT Solutions AB;5562508241;201904;SEK;174;129 230;-78 745;57 909;13,34;4,82;243,7;35,2;0,1;35,1;187,35
LäkarLeasing Sverige AB;5566784426;201912;SEK;238;-5 582;11 646;36 891;-0,84;0,42;-20,4;-6;2;-8;-11,05
Recticel Aktiebolag;5561522748;201812;SEK;162;40 368;47 239;198 920;5,88;-2,41;13,1;9,7;1;8,6;14,24
DLG SERVICE A/S;16181528;201912;DKK;100;0;-62 808;143 315;1,45;0;0;0,37;1,16;0;-
